id,version,lat,lon
469065068,3,35.1850397,126.8185938
478858333,5,35.1805596,126.8104968
478858334,4,35.1805576,126.8103017
478858335,3,35.1806988,126.8103827
478858337,3,35.1808783,126.8104988
478858339,3,35.180799,126.8106403
478858342,5,35.1809613,126.810771
478858343,3,35.1811428,126.8108856
478993784,3,35.1811625,126.8114389
478993789,4,35.1806117,126.8100557
478993790,3,35.1809784,126.8101545
478993791,3,35.1808967,126.8102595
478993793,3,35.1810746,126.8097784
478993794,3,35.1808319,126.8096938
478993795,3,35.1806438,126.8097992
478993796,4,35.180647,126.8096277
478993797,3,35.1811462,126.8093953
478993798,3,35.1811529,126.8095395
478993799,3,35.180995,126.8093154
478993800,3,35.1808397,126.809241
478993801,3,35.1807971,126.8094138
478993803,2,35.1809378,126.8088464
478993805,1,35.1804634,126.8087698
478993806,1,35.1803838,126.8093021
478993807,1,35.1803609,126.8095216
478993808,1,35.1803505,126.8097397
478993809,1,35.1802998,126.8099565
478993810,1,35.1802941,126.8101755
478993811,1,35.1803194,126.8103942
478993812,1,35.1802812,126.8106151
478993813,1,35.1802878,126.8108303
478993814,1,35.1803097,126.8111146
478993815,1,35.1804709,126.8112491
478993816,2,35.1810218,126.81165
478993817,1,35.1808379,126.8115885
478993818,1,35.1806434,126.8114495
478993819,3,35.180862,126.8109851
478993820,3,35.1807942,126.8111374
478993821,3,35.1810091,126.8111097
478993822,3,35.1809444,126.8112442
478993823,3,35.1812278,126.8112495
478993841,3,35.1807935,126.8098406
478993842,3,35.1810536,126.8099261
543625894,4,35.1802356,126.8193025
543625898,4,35.1798108,126.8191905
543625899,4,35.180642,126.8192805
543625900,4,35.1810737,126.8193152
591844613,1,35.1803474,126.8091089
624413466,1,35.1809397,126.809458
624413468,1,35.1807599,126.8101519
624413469,1,35.1810106,126.8106069
1015810460,1,35.1807887,126.817024
1015810461,1,35.1807825,126.8172803
1015810462,1,35.1809255,126.8170939
1015810463,1,35.1811531,126.8172021
1015810464,1,35.1811656,126.8170554
1015810465,1,35.1813307,126.8170669
1015810466,1,35.1813137,126.817227
1015810467,1,35.1814888,126.8171133
1015810468,1,35.1814722,126.8172693
1015810469,1,35.1816569,126.8172979
1015810470,1,35.1816692,126.8171267
1015810471,1,35.1818532,126.8171717
1015810472,1,35.1818396,126.8173343
1015810473,1,35.1820003,126.8173957
1015810474,1,35.1820142,126.8172325
1015810475,1,35.1822118,126.8172766
1015810476,1,35.182159,126.8174311
1015810477,1,35.1824519,126.8173525
1015810478,1,35.1824164,126.8175089
1015810479,1,35.1826336,126.8174187
1015810480,1,35.1825996,126.8175754
1015810481,1,35.1827794,126.8176438
1015810482,1,35.1828216,126.8174873
1015810483,1,35.1830006,126.8177269
1015810484,1,35.1829807,126.8175906
1015810485,1,35.1831827,126.8176566
1015810486,1,35.1833416,126.8177509
1015810487,1,35.1835433,126.8178469
1015810488,1,35.1837823,126.8180177
1015810489,1,35.1836985,126.8182099
1015810490,1,35.1834743,126.8179819
1015810491,1,35.1832965,126.8178914
1015810492,1,35.1831223,126.8178106
1015811221,2,35.1798254,126.816824
1015811222,2,35.1797741,126.8170695
1015811223,2,35.1802732,126.8173568
1015811224,2,35.1805139,126.8173449
1015811225,2,35.1798164,126.8172825
1015811226,2,35.1800802,126.817318
1015811227,1,35.1800673,126.8169563
1015811228,1,35.1802489,126.8168792
1015811229,1,35.1802247,126.8170286
1015811230,1,35.1803909,126.8170485
1015811231,1,35.1805511,126.8168856
1015811232,1,35.1805509,126.8170735
1015811811,1,35.1809042,126.8166242
1015812267,1,35.1797101,126.8185447
1015813335,2,35.1802308,126.8182511
1015813336,2,35.1804523,126.8185224
1015813337,2,35.1804493,126.8187143
1015813338,2,35.1802326,126.8185398
1015813339,2,35.180108,126.8185307
1015813340,2,35.1801605,126.8186953
1015813341,2,35.1799636,126.8185872
1015814998,1,35.1804329,126.8182263
1015814999,1,35.1797558,126.818193
1015815000,1,35.1799943,126.818185
1015815096,1,35.1806831,126.8186384
1015815097,1,35.1807062,126.8183961
1015815098,1,35.1808318,126.8185331
1015822725,1,35.1818296,126.8188759
1015822726,1,35.1818588,126.8187114
1015822727,1,35.1816785,126.818817
1015822728,1,35.1817195,126.8186585
1015822729,1,35.1815816,126.8186285
1015822730,1,35.1815409,126.8187888
1015822731,1,35.1813883,126.8187669
1015822732,1,35.1814228,126.8185904
1015822733,1,35.1812191,126.8187228
1015822734,1,35.1812498,126.8185502
1015822735,1,35.181071,126.8187005
1015822736,1,35.1810829,126.8185429
1015823360,1,35.183098,126.81942
1015823361,1,35.1832022,126.8192105
1015823362,1,35.182959,126.8191589
1015823363,1,35.1828699,126.8193101
1015823364,1,35.1827628,126.8190763
1015823365,1,35.1827101,126.8192319
1015823366,1,35.1825978,126.8189844
1015823367,1,35.1825515,126.8191539
1015823368,1,35.182426,126.8189203
1015823369,1,35.1823889,126.8190753
1015823370,1,35.1822703,126.8188476
1015823371,1,35.1822357,126.8190053
1015823372,1,35.1820652,126.8189495
1015823373,1,35.1820963,126.8187853
