No,id,version,lat,lon,°æµµ,Áö¹øÁÖ¼Ò,µµ·Î¸íÁÖ¼Ò
27,721791360,1,35.1938657,126.8141315,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1413,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 12-9
28,721791361,1,35.194005,126.8139916,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1408,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 12-13
29,721791362,1,35.1939336,126.8138196,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1409,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 27
30,721791363,1,35.1941404,126.8139027,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1407,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 12-15
31,721791364,1,35.1942532,126.8136921,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1411,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 19
32,721791365,1,35.1942747,126.8138649,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1406,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 12-19
33,721791366,1,35.1944318,126.813831,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1405,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 12-21
34,721791367,1,35.194393,126.8136755,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1404,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 13-2
35,721791368,1,35.1943752,126.8133888,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1361,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 14
36,721791369,1,35.1946094,126.8137009,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1385,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 13
37,721791370,1,35.1945793,126.8134145,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1359,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 12
38,721791371,1,35.1947423,126.8134043,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1358,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 8
39,721791372,1,35.194893,126.8133967,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1357,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 6
40,721791373,1,35.1948257,126.8122321,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1307,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î6¹ø±æ 35
41,721791374,1,35.1949448,126.8128644,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1307,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î 34
42,721791376,1,35.1947911,126.8137121,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1384,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 7
43,721791377,1,35.1946329,126.8138308,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1386,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 13-1
44,721791378,1,35.1946479,126.8139935,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1387,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 13-3
45,721791379,1,35.1946564,126.8141372,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1388,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 13-5
46,721791380,1,35.1946134,126.8143643,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1389,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î 46-1
47,721791381,1,35.194616,126.8145944,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1390,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î 46-2
48,721791382,1,35.1943819,126.8142705,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1394,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 13-8
49,721791383,1,35.194247,126.8141396,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1397,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 12-18
50,721791384,1,35.1941201,126.8142136,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1396,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 12-14
51,721791385,1,35.1944044,126.8141109,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1393,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 13-6
52,721791386,1,35.1940203,126.8143053,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1403,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 12-10
53,721791387,1,35.1939252,126.8144293,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1403,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 12-6
54,721791388,1,35.1938279,126.8146016,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1401,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 10-1
55,721791389,1,35.1939981,126.8145898,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1400,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 10
56,721791390,1,35.1940879,126.8144599,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1399,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 8
57,721791391,1,35.1942236,126.8148792,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1382,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î50¹ø±æ 5
58,721791392,1,35.1946233,126.814913,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1381,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î 48
59,721791393,1,35.1946494,126.8151988,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1380,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 261
60,721791394,1,35.1944431,126.8152571,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1378,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 257
61,721791395,1,35.194263,126.8152058,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1377,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 255
62,721791396,1,35.1940881,126.8151363,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1376,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 253
63,721791397,1,35.19392,126.8150287,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1375,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 251
64,721791398,1,35.1937485,126.8149066,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1374,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 249
65,721791399,1,35.1933161,126.8141436,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1369,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 42
66,721791400,1,35.193452,126.8139161,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1368,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 36
67,721791401,1,35.1935926,126.8137679,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1367,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 32
68,721791402,1,35.1937534,126.8136167,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1365,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 28
69,721791403,1,35.1939046,126.81355,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1364,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 24
70,721791404,1,35.1942049,126.8134358,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1362,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 18
71,721791405,1,35.1940818,126.8134699,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1363,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î40¹ø±æ 22
72,721791406,1,35.1933739,126.813653,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1326,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 2-16
73,721791407,1,35.193262,126.8138271,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1327,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 2-14
74,721791408,1,35.1931507,126.8140195,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1328,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 2-12
75,721791409,1,35.1930187,126.8142135,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1330,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 2-10
76,721791410,1,35.1928769,126.8141013,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1332,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 239
77,721791411,1,35.192712,126.8140687,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1333,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 237
78,721791412,1,35.1925433,126.8140177,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1334,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 235
79,721791413,1,35.1923916,126.8139654,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1335,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 233
80,721791414,2,35.1923985,126.8135225,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1344,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 4
81,721791415,2,35.1921922,126.813516,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1338,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 2
82,721791416,1,35.1921989,126.8136948,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1337,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 2-2
83,721791417,2,35.1921979,126.8139468,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1336,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 231
84,721791436,1,35.1951025,126.8152532,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1072,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î 55
85,721791437,1,35.1950703,126.8149366,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1073,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î 51
86,723926518,2,35.1922161,126.8149683,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1243,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 1
87,723926519,1,35.1922601,126.8146102,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1241,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø±æ 3
88,723926520,1,35.192405,126.81459,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1240,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 1-7
89,723926521,1,35.1925867,126.8146463,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1239,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 1-11
90,723926522,1,35.1927287,126.8147445,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1238,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 1-13
91,723926523,1,35.1928707,126.8148232,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1237,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 1-15
92,723926524,1,35.1930311,126.8149556,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1236,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 1-21
93,723926525,1,35.1927678,126.8152324,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1248,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 7
94,723926526,1,35.1928168,126.8151189,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1247,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 1-26
95,723926527,1,35.1926334,126.8151449,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1249,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 5
96,723926528,1,35.1927173,126.8150309,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1253,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 1-18
97,723926529,1,35.1924769,126.8150401,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1250,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 3
98,723926530,1,35.1925908,126.8149208,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1252,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 1-14
99,723926531,1,35.1921872,126.8152742,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1189,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 2
