id,version,lat,lon
489990921,6,35.1866365,126.921927
711986537,5,35.1893028,126.9232456
711986579,1,35.1904153,126.9234804
711986580,1,35.1902918,126.9234092
711986581,1,35.1902138,126.92335
711986582,1,35.1901183,126.9232932
711986583,1,35.190022,126.9232122
711986584,1,35.1899151,126.9231264
711986585,1,35.1898229,126.9230488
711986586,1,35.1897269,126.9229723
711986587,1,35.189633,126.9229034
711986588,1,35.1895298,126.9228284
711986589,1,35.1894326,126.922751
711986590,1,35.189341,126.9226594
711986591,2,35.189232,126.9225483
711986592,1,35.1893461,126.9223547
711986593,1,35.1894455,126.9224509
711986594,1,35.1896029,126.9225757
711986595,1,35.1897477,126.922669
711986596,1,35.1898412,126.922742
711986597,1,35.1899305,126.9228577
711986598,1,35.190062,126.92295
711986599,1,35.190228,126.9230456
711986600,1,35.190329,126.9231192
711986601,1,35.1904256,126.9231949
711986602,1,35.1905162,126.9232695
711986603,1,35.1906081,126.9230757
711986604,1,35.1906716,126.9229176
711986605,1,35.1904812,126.9229524
711986606,1,35.1905395,126.9228388
711986607,1,35.1903736,126.9228801
711986608,1,35.1904354,126.922758
711986609,2,35.1902763,126.9228002
711986610,1,35.1903262,126.9226854
711986611,1,35.1901549,126.9227301
711986612,1,35.1902247,126.9225967
711986613,1,35.1900632,126.922636
711986614,1,35.1901301,126.9225069
711986615,1,35.1899632,126.922559
711986616,1,35.1900076,126.9224273
711986617,1,35.1898593,126.9224749
711986618,1,35.1897368,126.9223962
711986619,1,35.1898072,126.9222551
711986620,1,35.189585,126.9222902
711986621,1,35.1894433,126.9221887
711986622,1,35.1895378,126.9220438
711986623,1,35.1897081,126.9219957
711986624,1,35.189665,126.9221406
711986625,1,35.1896015,126.9219263
711986626,1,35.1897899,126.9219067
711986627,1,35.1900031,126.9214821
711986628,1,35.1899278,126.9216176
711986629,1,35.1898615,126.9214074
711986630,1,35.1897911,126.9215283
711986631,1,35.1897241,126.9216639
711986632,1,35.1896653,126.9217818
711986633,1,35.1898672,126.9217482
711986634,1,35.1904009,126.9222521
711986635,1,35.1905041,126.9223409
711986636,1,35.190613,126.9224103
711986637,1,35.1907362,126.9225188
711986638,1,35.1907401,126.9227106
