No,id,version,lat,lon,°æµµ,Áö¹øÁÖ¼Ò,µµ·Î¸íÁÖ¼Ò
1,611348996,1,35.1920059,126.8109748,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1421,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø±æ 53
2,624147272,1,35.1912238,126.8161554,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1291-1,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î228¹ø±æ 38
3,721791415,2,35.1921922,126.813516,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1338,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 2
4,721791416,1,35.1921989,126.8136948,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1337,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 2-2
5,721791417,2,35.1921979,126.8139468,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1336,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 231
6,721791449,1,35.1919489,126.8137931,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1474,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø±æ 5
7,721791451,2,35.1919199,126.8140217,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1475,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 229
8,721791452,2,35.1915983,126.8139894,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1477,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 29-4
9,721791453,1,35.191451,126.8140152,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1479,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 29-2
10,721791454,1,35.1915762,126.8136856,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1466,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 29-5
11,721791455,1,35.1917174,126.8135292,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1464,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 23-6
12,721791456,1,35.1915878,126.8135048,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1467,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 23-2
13,721791457,1,35.1914569,126.8134659,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1472,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 23-4
14,721791458,1,35.1913057,126.8134916,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1471,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 25
15,721791459,1,35.1911565,126.813944,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1481,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î 219
16,721791460,1,35.1910656,126.8136905,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1482,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î 33
17,721791461,1,35.1910757,126.813475,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1483,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î 31
18,721791462,1,35.1911115,126.8132175,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1485,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î 29
19,721791463,1,35.1914071,126.8131696,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1457,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 23
20,721791464,1,35.1917347,126.8127587,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1459,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 19-5
21,721791465,1,35.1919832,126.812845,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1455,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø±æ 10
22,721791466,1,35.1920003,126.8125934,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1454,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø±æ 12
23,721791467,1,35.1919644,126.8123079,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1427,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø±æ 33
24,721791468,1,35.191963,126.8118325,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1425,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø±æ 41
25,721791469,1,35.191941,126.8116004,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1423,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø±æ 51
26,721791470,1,35.191981,126.8113493,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1422,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø±æ 49
27,721793096,1,35.1917828,126.8114496,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1437,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 9-5
28,721793097,1,35.1917268,126.8118864,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1443,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î19¹ø¾È±æ 11-7
