id,version,lat,lon
474975589,1,35.8132129,127.1164355
475000912,1,35.8104447,127.1146103
475000930,1,35.8121734,127.1145536
475000933,1,35.8111965,127.114702
475000935,1,35.8117843,127.115575
475000936,1,35.8117214,127.1154029
475000937,1,35.8118981,127.1153628
475000938,1,35.8120006,127.1155792
475000939,1,35.812047,127.1153652
475000940,1,35.8119319,127.1150799
475000942,1,35.812075,127.1151193
475000944,1,35.8121069,127.114977
475000946,1,35.8117604,127.1151461
475000948,1,35.8116101,127.1152196
475000950,1,35.8115581,127.1150638
475000952,1,35.8116819,127.1149978
475000954,1,35.8118087,127.1149229
475000956,1,35.8119469,127.1148465
475000958,1,35.8125034,127.1145793
475000961,1,35.8123237,127.1146631
475000963,1,35.8121192,127.1147635
475000965,1,35.8120878,127.1161079
475000967,1,35.812129,127.1159227
475000969,1,35.8121409,127.115749
475000972,1,35.8121962,127.1155812
475000974,1,35.8122274,127.1154138
475000975,1,35.8122597,127.1161446
475000976,1,35.8122928,127.1159635
475000977,1,35.8123102,127.1157842
475000978,1,35.8123414,127.1156141
475000979,1,35.8123704,127.1154432
475000980,1,35.8124149,127.115198
475000981,1,35.8124604,127.1149786
475000982,1,35.8125025,127.114771
475000983,1,35.8122641,127.1151997
475000984,1,35.8122881,127.1150837
475000985,1,35.812312,127.1149737
475000986,1,35.8123355,127.1148634
475001007,1,35.8124535,127.1165887
475001008,1,35.8126471,127.1166192
475001009,1,35.8124753,127.1163137
475001010,1,35.8126437,127.1164043
475001011,1,35.8124985,127.1159785
475001012,1,35.8125194,127.1158051
475001013,1,35.8125621,127.1156469
475001014,1,35.8126011,127.115469
475001015,1,35.8126305,127.1153082
475001016,1,35.8126479,127.115129
475001017,1,35.8126819,127.1149651
475001018,1,35.8127205,127.1147954
475001019,1,35.8127023,127.1160296
475001020,1,35.8127227,127.1158566
475001021,1,35.8127435,127.1157017
475001022,1,35.8127664,127.115525
475001023,1,35.8127979,127.115356
475001024,1,35.8128275,127.1151824
475001025,1,35.8128611,127.115005
475001026,1,35.8129087,127.1148406
475001029,1,35.8127878,127.114584
475001032,1,35.8130081,127.1145578
475001054,1,35.8117521,127.1146488
475001055,1,35.8118793,127.1145858
475001056,1,35.8120085,127.1145099
475001061,1,35.8116331,127.114722
475001062,1,35.8115487,127.1145077
475001063,1,35.8114948,127.1148071
475001064,1,35.8114073,127.1145745
475001065,1,35.8116031,127.1156571
475001066,1,35.8114691,127.1157177
475001067,1,35.811545,127.1155002
475001068,1,35.8114093,127.1155691
475001069,1,35.8110191,127.1154916
475001070,1,35.8109649,127.1153551
475001071,1,35.8111513,127.1154498
475001072,1,35.8110958,127.1153057
475001073,1,35.8112403,127.1152231
475001074,1,35.811287,127.1153843
475001075,1,35.811431,127.1153266
475001076,1,35.8113782,127.1151746
475001077,1,35.8112851,127.1149152
475001078,1,35.8111546,127.1150005
475001079,1,35.8110552,127.114739
475001080,1,35.8109469,127.1148363
475001081,1,35.811016,127.115052
475001082,1,35.8108981,127.115181
475001083,1,35.8108627,127.1150662
475001084,1,35.8108018,127.1148814
475001085,1,35.8106678,127.1149422
475001086,1,35.8107498,127.1152043
475001087,1,35.8106056,127.1152781
475001089,1,35.8105249,127.1150082
475001091,1,35.8104094,127.115075
475001093,1,35.8104918,127.1153778
475001097,1,35.8106247,127.1155602
475001099,1,35.8104355,127.1156364
475001251,1,35.8122032,127.1163601
475001252,1,35.8121917,127.1165253
475001253,1,35.8120268,127.1163684
475001254,1,35.8120157,127.1165384
475001255,1,35.8118606,127.116528
475001256,1,35.8118643,127.1163689
475001257,1,35.8116205,127.1164462
475001405,1,35.8104977,127.116536
475001406,1,35.8104894,127.1163352
475001407,1,35.8104855,127.1161445
475001408,1,35.8104927,127.1159639
475001409,1,35.8104842,127.1157748
475001410,1,35.8106726,127.1165518
475001411,1,35.8106717,127.1163491
475001412,1,35.810658,127.1161476
475001413,1,35.8106499,127.1160106
475001414,1,35.8106478,127.115907
475001416,1,35.8106482,127.1157662
475001418,1,35.8108386,127.1155021
475001420,1,35.8108541,127.11566
475001422,1,35.8108506,127.115832
475001424,1,35.8108532,127.1159945
475001426,1,35.8108421,127.1161683
475001428,1,35.8110355,127.1161401
475001430,1,35.8110198,127.1159245
475001431,1,35.8112295,127.1161836
475001433,1,35.8112221,127.1160293
475001435,1,35.8112171,127.1158762
475001437,1,35.8113739,127.1158936
475001438,1,35.8113757,127.1160251
475001439,1,35.8113807,127.1161646
475001440,1,35.8113699,127.1163848
475001442,1,35.8112133,127.1164057
475001444,1,35.8110543,127.1164089
475001446,1,35.8108513,127.1164092
475001447,1,35.8108723,127.1165827
475001449,1,35.8110526,127.1165682
475001452,1,35.8112153,127.1165532
475001454,1,35.8113836,127.116553
